Año Indice,Cod Divipola Dpto,Departamento,Cod Divipola municipio,Municipio,Entidad Territorial,Ranking,"Índice de Madurez 
CTI","Índice
Capacidades","Índice
Resultados","Índice
Percepción"
2020,50,Meta,50006,Acacías,Alcaldia de Acacías,26,3.4,3.4,3.6,3.1
2020,20,Cesar,20011,Aguachica,Alcaldia de Aguachica,59,2.5,2.7,3.2,1.6
2020,81,Arauca,81001,Arauca,Alcaldia de Arauca,55,2.7,2.8,3.2,2.1
2020,5,Antioquia,5059,Armenia,Alcaldia de Armenia,30,3.4,3.1,3.9,3.2
2020,68,Santander,68081,Barrancabermeja,Alcaldia de Barrancabermeja,23,3.4,2.9,3.7,3.7
2020,8,Atlántico,8001,Barranquilla,Alcaldia de Barranquilla,3,4.1,3.3,4.3,4.6
2020,25,Cundinamarca,11001,Bogotá,Alcaldia de Bogotá,1,4.4,3.1,4.7,5.4
2020,68,Santander,68001,Bucaramanga,Alcaldia de Bucaramanga,17,3.6,3.4,4.3,3
2020,76,Valle Del Cauca,76109,Buenaventura,Alcaldia de Buenaventura,62,2.2,2.2,3.2,1.3
2020,76,Valle Del Cauca,76113,Buga,Alcaldia de Buga,19,3.5,3.6,3.8,3
2020,25,Cundinamarca,25126,Cajicá,Alcaldia de Cajicá,5,4,3.8,4.2,4
2020,63,Quindío,63130,Calarcá,Alcaldia de Calarcá,29,3.4,3.5,3.2,3.3
2020,5,Antioquia,5129,Caldas,Alcaldia de Caldas,42,3.1,3.4,3.6,2.1
2020,76,Valle Del Cauca,76001,Cali,Alcaldia de Cali,9,3.8,3.2,4.3,3.9
2020,8,Atlántico,8141,Candelaria,Alcaldia de Candelaria,45,3,3.2,3.4,2.5
2020,13,Bolívar,13001,Cartagena,Alcaldia de Cartagena,16,3.6,2.6,4.1,4.1
2020,17,Caldas,17174,Chinchiná,Alcaldia de Chinchiná,39,3.1,3,3.5,2.9
2020,15,Boyacá,15212,Coper,Alcaldia de Coper,51,2.8,3.4,3,2
